"age_NA","ageolder_BP","ageyounger_BP","depth","Alchemilla t.","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asteroideae undif.","Betula","Brassicaceae","Calluna","Campanulaceae","Caryophyllaceae undif.","Cichorieae","Cistaceae","Cupressaceae","Cyperaceae","Dipsacaceae","Ephedra","Erica t.","Fabaceae Undif.","Fagus","Fern","Filipendula t.","Fraxinus","Ilex","Indeterminable","Lamiaceae undif.","Lobelia","Malva","Myriophyllum undif.","Olea t.","Pinus undif.","Plantago","Plumbaginaceae","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Potamogeton","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnus","Rosa t.","Rosaceae undif.","Rumex t.","Salix","Scrophulariaceae undif.","Sparganium","Thalictrum","Ulmus t.","Unknown","Unknown (periporate)"
NA,NA,NA,"1267","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","1","0","0","0","0","0","2","0","3","0","0","0","0","6","0","2","0","17","0","0","0","8","13","0","0","0","0","0","0","0","0","0","2","0","6"
NA,NA,NA,"1405","1","0","1","2","0","14","0","0","0","0","0","13","0","0","12","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","16","0","1","0","1","2","0","0","0","4","0","0","0","0","0","0","0","0"
NA,NA,NA,"1245","0","0","0","3","0","0","0","0","0","0","0","0","0","2","44","0","0","4","0","0","0","0","0","0","1","0","0","0","0","18","2","2","0","70","0","0","0","86","76","0","0","0","6","7","0","0","0","0","0","0","2"
NA,NA,NA,"1230","0","0","0","1","1","4","0","0","0","0","0","3","0","0","9","0","1","0","0","0","0","0","0","0","1","0","0","0","0","7","1","2","0","12","0","1","0","62","35","0","0","0","1","0","0","0","25","0","0","0","1"
NA,NA,NA,"1160","0","0","2","0","0","4","1","0","0","0","0","1","0","1","5","0","0","0","0","0","0","3","0","0","0","0","1","0","1","40","5","7","0","16","0","0","0","26","4","0","0","0","3","2","0","0","0","0","0","0","0"
NA,NA,NA,"1180","0","0","1","1","1","5","1","0","0","0","0","2","0","0","8","0","0","0","0","0","1","2","0","0","0","0","0","0","1","18","1","1","0","12","0","0","0","35","10","0","0","0","3","3","0","0","0","0","0","0","0"
NA,NA,NA,"1240","0","0","0","2","0","0","1","0","0","0","0","0","0","1","7","0","0","0","0","0","1","0","0","0","0","0","0","0","1","12","2","6","0","17","0","0","0","71","26","0","14","1","5","2","0","0","2","0","0","0","0"
NA,NA,NA,"1280","0","1","0","2","0","4","0","0","0","0","0","1","0","0","12","0","0","6","1","0","0","3","2","0","3","0","0","0","0","7","2","13","0","49","0","0","0","21","28","0","0","0","4","0","0","0","1","0","0","0","2"
NA,NA,NA,"1150","0","0","1","1","0","3","0","1","0","0","0","0","0","0","5","0","2","0","0","0","0","2","3","0","0","0","0","0","1","47","0","8","0","28","3","0","0","36","14","0","2","2","7","1","0","0","0","0","0","0","0"
NA,NA,NA,"1170","0","0","1","0","0","1","0","0","0","0","0","4","0","5","6","0","0","0","2","0","0","0","0","0","0","1","0","0","1","54","3","7","0","26","0","1","0","50","35","0","0","1","3","3","1","1","0","0","0","0","0"
NA,NA,NA,"1395","0","0","11","7","2","17","3","0","0","0","2","43","0","0","20","0","0","3","2","0","2","4","0","0","8","0","0","0","0","4","5","0","0","32","0","0","0","5","6","0","0","0","20","0","3","0","0","0","0","0","0"
NA,NA,NA,"1140","0","0","0","3","2","9","0","1","0","2","0","4","0","4","8","0","1","0","0","0","1","2","0","0","0","0","0","0","0","38","3","16","0","13","0","0","0","16","15","0","0","1","4","5","0","2","0","0","0","0","0"
NA,NA,NA,"1210","0","0","1","1","2","1","0","0","0","0","0","1","0","1","8","0","0","0","0","0","0","2","0","0","0","0","0","0","0","10","2","1","0","10","0","0","0","60","18","0","2","1","7","0","0","1","3","0","0","2","0"
NA,NA,NA,"1295","0","0","5","0","4","1","0","0","2","0","0","3","1","3","11","0","0","2","2","0","0","1","0","3","0","0","0","0","0","0","0","0","1","40","0","0","0","5","6","0","0","0","4","2","0","0","4","1","0","0","3"
NA,NA,NA,"1125","0","0","0","0","0","8","0","0","0","0","0","3","0","5","11","0","1","0","0","0","2","3","0","0","0","1","0","0","0","86","4","8","0","20","0","0","0","48","8","0","1","1","2","7","1","0","0","0","0","0","0"
NA,NA,NA,"1310","0","0","1","3","0","2","0","0","1","0","0","8","0","0","6","0","0","2","0","0","1","10","2","0","0","0","0","1","2","2","0","5","0","54","0","0","0","9","3","0","0","1","5","0","1","0","0","0","0","0","1"
NA,NA,NA,"1260","0","0","3","2","3","5","0","0","0","0","0","2","0","1","7","1","0","1","0","0","2","1","1","0","0","1","0","0","0","1","0","10","0","25","1","0","1","40","9","1","1","0","5","2","0","0","0","0","0","0","0"
NA,NA,NA,"1220","0","0","0","0","1","2","0","1","0","0","0","5","0","1","29","0","2","2","2","2","6","0","1","0","6","2","0","0","2","36","1","16","0","27","0","0","0","94","65","0","0","1","3","10","0","0","4","0","0","0","0"
NA,NA,NA,"1290","0","1","5","3","7","7","0","0","0","0","0","5","3","4","23","0","0","7","3","0","0","15","1","4","1","1","0","0","0","0","0","23","0","95","0","0","0","70","21","0","1","2","4","16","0","0","3","0","2","0","4"
NA,NA,NA,"1334","0","2","0","5","1","7","2","0","0","0","0","18","0","5","29","1","0","5","2","0","2","3","3","5","1","0","0","0","1","10","8","5","0","84","0","0","0","56","3","0","3","3","13","8","0","0","0","0","0","0","3"
NA,NA,NA,"1350","0","1","0","3","2","8","1","0","0","0","0","23","1","20","17","0","0","1","4","0","3","1","2","20","0","3","0","0","0","104","8","2","0","63","0","0","0","62","51","1","0","0","11","11","1","1","0","0","0","0","5"
NA,NA,NA,"1200","0","0","1","3","0","5","3","1","0","0","2","5","1","3","11","0","0","1","1","1","1","1","0","0","0","0","0","0","0","31","5","6","1","11","0","0","0","61","24","1","0","1","5","1","2","0","0","1","1","0","0"
NA,NA,NA,"1270","0","1","1","5","1","3","1","0","0","0","0","4","0","3","29","0","1","1","1","1","0","1","3","3","0","3","0","0","3","7","1","18","0","56","0","0","0","70","52","1","1","1","6","6","0","0","0","0","0","0","3"
