Depth,Radiocarbon years BP,Laboratory analysesnumber,Alnus,Amaranthaceae,Apiaceae,Artemisia,Aster-type,Betula,Boraginaceae,Cardueae,Caryophyllaceae,Castanea,Cichorioideae,Erica arborea-type,Fabaceae,Glomus cf. G. fasciculatumspore,Indeterminable undiff./spore,Juglans,Lamiaceae,Liliaceae,Myrtus,Olea,Papaver rhoeas-type,Phillyrea,Pinus pinea-type,Pinus sylvestris-type,Pistacia,Poaceae,Polypodiophyta (monolete)spore,Polypodiophyta (trilete)spore,Quercus (deciduous),Quercus (evergreen),Rhamnus-type,Rivularia-typepalynomorph,Rumex acetosa-type,Rumex obtusifolius-type,Salix,Scrophulariaceae,Ulmus,Unknown (types 181-182)non- palynomorph,Urtica dioica-type
142.5,--/9059/--,16,2,2,2,,6,8,2,6,2,,11,5,4,4,6,,2,1,,2,2,21,2,2,33,34,9,12,23,77,4,,1,3,1,4,,,1
156,--/9694/--,14,2,2,2,1,7,9,3,7,2,1,34,4,5,3,7,,1,1,,1,,17,2,3,24,54,9,23,27,65,4,,1,,2,4,,,1
157.5,--/9765/--,13,1,1,3,1,8,11,2,11,3,,21,2,6,,6,,,,,2,2,19,,1,19,45,11,13,31,69,2,,3,,1,4,,,
162.5,--/10000/--,15,5,8,2,,3,3,3,28,1,,23,23,16,,8,,1,12,2,3,1,13,,1,3,33,1,3,27,23,16,,,,2,2,3,2,3
167.5,--/10235/--,12,3,8,2,2,7,4,2,44,2,,25,25,13,,9,,2,9,3,4,1,15,,2,3,35,1,3,23,32,21,,,,3,2,3,2,2
172.5,--/10471/--,11,3,9,1,1,7,5,3,33,1,,31,31,13,,7,,,9,,5,,7,,2,2,37,,2,22,24,23,,,,2,2,2,3,4
180,--/10824/--,10,2,5,,,6,3,2,23,1,,21,19,16,,8,,,13,3,3,,16,,1,3,41,,1,23,26,17,,,,3,1,3,,4
187.5,--/11176/--,9,4,7,,,5,4,1,27,3,,23,21,14,,8,,,11,,3,,9,,,1,33,,,27,21,14,,,,3,1,1,,3
205,--/12000/--,8,2,9,2,3,9,2,3,3,,,11,13,3,1,8,,2,2,1,4,,5,,2,2,44,1,2,21,21,11,,1,1,3,2,3,,2
211,--/12124/--,7,1,11,2,3,8,3,,3,1,,13,21,3,2,11,,2,,1,5,1,5,1,2,2,56,1,2,33,13,3,,1,,4,3,3,,2
216,--/12226/--,6,3,13,2,4,9,2,1,4,1,,21,12,4,3,13,,1,1,3,6,,3,,3,3,47,2,2,21,23,11,,2,2,3,4,1,,
224,--/12391/--,5,,21,2,3,11,4,1,7,2,,23,9,4,,21,,,3,2,7,,,,,2,54,1,2,17,24,9,,,1,5,3,2,,
231,--/12535/--,4,2,44,4,11,9,2,2,3,6,2,31,7,5,18,8,3,2,3,3,,2,8,4,6,9,67,2,1,9,21,15,6,2,2,3,2,5,,5
239,--/12700/--,3,,21,3,4,15,,1,3,2,12,22,3,3,13,4,6,2,1,3,4,1,3,,1,3,43,,,13,13,19,,1,2,2,3,3,,1
244,--/13807/--,2,,11,2,4,23,3,,5,1,15,28,2,3,19,7,8,1,,5,5,,3,,3,5,59,,,14,23,46,,,7,3,3,4,,
254,--/15000/--,1,1,37,2,8,13,1,1,2,13,2,22,3,3,20,11,2,3,2,2,1,1,3,3,4,15,53,1,2,11,17,13,9,1,1,3,2,3,3,8
