labID,age,error,depth,cc,delta.R,delta.STD
265679,1980,60,14,2,400,0
265680,3216,37,54,2,400,0
265681,4275,41,96,2,400,0
265682,5652,42,178,2,400,0
265683,6870,50,238,2,400,0
265684,8530,47,298,2,400,0
265685,9200,60,348,2,400,0
265686,9970,50,418,2,400,0
265687,10560,60,487,2,400,0
265688,10750,60,512,2,400,0
265689,11590,60,588,2,400,0
265690,11880,80,595,2,400,0
265691,12790,90,682,2,400,0
265692,13100,90,708,2,400,0
265693,14350,110,758,2,400,0
265694,15440,90,802,2,400,0
265695,18260,120,858,2,400,0
265696,22450,160,958,2,400,0
265697,24840,280,1044,2,400,0
265698,26220,240,1077,2,400,0
265699,32600,400,1324,2,400,0
