"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Pollen concentration","Pistacia","Typha sp.","Artemisia monosperma","Malvaceae","Sparganium sp.","Centaurea sp.","Plantago lanceolata","Plantago sp.","Olea europaea","Pinus halepensis","Gundelia","Quercus ithaburensis","Scabiosa","Cichorioideae","Allium-type","Fabaceae","Asteroideae","Poaceae","Quercus coccifera","Lycopodium","Apiaceae","Amaranthaceae","Potamogeton sp.","Cyperaceae","Ephedra fragilis-type","Asphodelus microcarpus","Ranunculaceae","Bellevalia-type","Corylus","Geraniaceae","Boraginaceae","Fraxinus","Asperula","Euphorbiaceae","Daphne/Thymelaea","Polygonaceae","Populus sp.","Crassulaceae","Juglans","Carpinus"
9489.6,NA,NA,630,10679,1,1,1,2,2,2,3,5,6,7,10,11,13,16,16,17,30,36,58,78,83,191,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9657.7,NA,NA,640,10679,NA,NA,2,3,NA,10,3,4,2,NA,10,7,61,18,2,9,42,34,44,229,104,165,22,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9783.8,NA,NA,650,10679,1,1,3,NA,19,9,15,7,10,NA,1,24,2,1,21,10,7,51,48,46,33,289,610,1,2,1,3,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9907.5,NA,NA,660,10679,NA,4,7,NA,16,8,48,4,1,1,4,27,1,4,2,23,16,38,27,81,27,279,570,1,4,1,NA,1,3,2,5,8,NA,NA,NA,NA,NA,NA,NA,NA
10037.9,NA,NA,670,10679,2,NA,7,2,23,1,33,6,4,NA,NA,9,NA,8,17,15,8,54,24,42,25,275,705,NA,NA,NA,11,5,2,1,NA,NA,1,2,4,NA,NA,NA,NA,NA
10173,NA,NA,680,10679,NA,NA,8,2,57,12,32,8,4,2,2,32,12,36,NA,2,27,71,36,126,85,187,343,NA,8,NA,NA,4,8,3,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
10307.1,NA,NA,690,10679,4,NA,10,1,1,9,35,12,1,4,1,21,12,31,5,7,54,58,46,82,53,107,6,1,5,2,NA,6,3,6,2,1,NA,NA,NA,1,1,2,NA,NA
10440.8,NA,NA,700,10679,1,NA,7,NA,17,10,39,5,1,2,3,52,5,6,13,12,14,40,85,45,45,189,225,NA,1,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
10582.5,NA,NA,710,10679,NA,NA,NA,1,NA,NA,NA,NA,4,NA,3,NA,8,28,NA,NA,67,38,16,404,76,80,NA,NA,4,NA,NA,2,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10782.3,NA,NA,720,10679,NA,NA,NA,NA,NA,3,3,NA,NA,NA,1,NA,1,2,NA,NA,26,28,NA,101,20,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10986.9,NA,NA,730,10679,NA,NA,NA,1,NA,1,NA,NA,2,4,NA,2,NA,2,4,4,28,16,10,101,31,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
11187.8,NA,NA,740,10679,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,2,NA,2,14,7,NA,55,13,15,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
